elementId,quantity
243126,37
4103587,10
300426,127
300526,20
302226,6
302326,27
302426,52
306926,13
307026,13
4109810,12
6284188,1
4142135,4
366626,95
370026,9
370526,3
370626,2
370926,2
371026,26
389426,4
614376,1
395826,1
6037533,1
6317564,1
6331723,4
6258572,59
6422915,15
6258094,37
6258091,2
6133119,1
4249139,4
4211042,3
4539104,2
4539097,37
4539114,66
6134368,1
4539062,126
6212010,4
4539061,28
6271165,5
6275844,1
44294194,1
6197414,1
4565452,2
6514281,8
6514210,84
6514007,121
6513964,124
6507937,156
6514268,420
6514224,18
6514261,121
6509243,1
6245277,96
6514003,120
6513963,12
6514235,18
6514263,51
6245252,24
6514051,48
6514189,90
6278132,4
4173941,4
